forecast_time_local,V10m_Dir,V10m_Km/h,RafaleV10_Km/h,V22m_Dir,V22m_Km/h,RafaleV22_Km/h,V60m_Dir,V60m_Km/h,RafaleV60_Km/h,V70m_Dir,V70m_Km/h,RafaleV70_Km/h,T(°C),Pluie(mm),Pluie(%),Visibilite_km,Temps_sensible
2026-05-26 01:00,S,7.983746606214736,14.159344482421876,S,8.67306430729524,15.381864092429575,S,9.636928220281398,17.091297250982286,S,9.79422944509709,17.370274320211724,28.0,0.0017013549804687,20.0,9.0,Assez nuageux
2026-05-26 03:00,S,8.052983007094692,17.089041137695315,S,8.756335556136426,18.581608629056927,S,9.740857347694345,20.670838592918557,S,9.901636886192897,21.01202497628492,28.0,0.0017674763997395,10.0,9.0,Modérément nuageux
2026-05-26 05:00,S,5.810490920616666,15.931119060516355,S,6.392191660681995,17.52601764553776,S,7.217350589915522,19.7884263344188,S,7.35324624570138,20.1610230567456,26.0,0.0022481282552083,30.0,9.0,Averses de pluies faibles
2026-05-26 07:00,SE,5.776623867791685,10.68557825088501,SE,6.101527405244451,11.28658365696628,SE,6.541518350577348,12.10047734013469,SE,6.611876577262162,12.23062573719858,26.0,0.003143310546875,30.0,9.0,Averses de pluies faibles
2026-05-26 09:00,SE,2.0810078818150077,10.806911373138426,SE,2.165281196244996,11.24455231055342,SE,2.2774703175185143,11.827163218098734,SE,2.295215233092357,11.919314589367492,28.0,0.0038299560546875,30.0,10.0,Averses de pluies faibles
2026-05-26 11:00,SO,3.2480373640259104,11.94657669067383,SO,3.378641798431231,12.42695167313133,SO,3.552454948930461,13.066252241309805,SO,3.579941406533509,13.167349931055206,30.0,0.0043080647786458,20.0,10.0,
2026-05-26 13:00,SO,9.084603281771086,14.104574203491213,SO,9.449897562727816,14.671722832006852,SO,9.936044531025956,15.426504937013268,SO,10.012922822424487,15.545864641783654,30.0,0.00457763671875,10.0,10.0,
2026-05-26 15:00,SO,12.801164285882823,19.09050178527832,SO,13.376990169880134,19.94923657072147,SO,14.147323694025744,21.098042506614306,SO,14.269549542208942,21.28031911215101,31.0,0.00457763671875,30.0,8.0,Orages et pluies
2026-05-26 17:00,SO,15.073317112190155,22.65329418182373,SO,15.936613432654315,23.950719650153115,SO,17.1070037319271,25.70966862997238,SO,17.294291349585315,25.99113829373957,,0.00457763671875,30.0,8.0,Orages et pluies
2026-05-26 19:00,SO,15.868212248957466,24.79295139312744,SO,17.016564871981007,26.587170572837728,SO,18.598765430094257,29.059246249419257,SO,18.85456980445801,29.45892236417292,30.0,0.00457763671875,20.0,10.0,Assez nuageux
2026-05-26 21:00,SO,12.88377879493846,22.6831621170044,SO,13.938665615025393,24.54039431075516,SO,15.406791303613986,27.12517425245027,SO,15.645674905055294,27.545752372024623,29.0,0.0045827229817708,10.0,10.0,Modérément nuageux
2026-05-27 03:00,O,4.362229157691043,13.870293045043947,O,4.590660893290022,14.596622405334342,O,4.898714259239052,15.57611942503856,O,4.947842984645027,15.732330800846029,28.0,0.0169550577799479,10.0,9.0,Modérément nuageux
2026-05-27 09:00,S,3.6370309842487454,9.782656288146974,S,3.967250588007258,10.670860127258583,S,4.431152122780199,11.91863318332589,S,4.507084414486303,12.122871066959307,28.0,0.0318501790364583,30.0,10.0,Averses de pluies faibles
2026-05-27 15:00,SO,11.94260447528481,18.65812740325928,SO,12.462750256693331,19.470759712892608,SO,13.15751269836036,20.55619850293625,SO,13.267638205294547,20.72824939375984,31.0,0.0340906778971354,30.0,8.0,Orages et pluies
2026-05-27 21:00,SO,11.846920157882192,18.525254631042483,SO,12.894664197155556,20.163631935609864,SO,14.36294168984737,22.45960540877007,SO,14.602897302240828,22.8348285689244,29.0,0.0342381795247395,10.0,10.0,Modérément nuageux
2026-05-28 03:00,SO,9.239594387308728,16.709237480163573,SO,10.162620973368226,18.37847422156832,SO,11.471670810931494,20.745810242212112,SO,11.687228465491412,21.13563298655856,28.0,0.0347976684570312,10.0,9.0,Modérément nuageux
2026-05-28 09:00,O,4.982144390641749,12.247374343872073,O,5.18247772346366,12.73984447886738,O,5.449088638218088,13.39524171771357,O,5.491249945253022,13.4988849021732,28.0,0.0400288899739583,30.0,10.0,Averses de pluies faibles
2026-05-28 15:00,SO,11.245461819616285,17.196998119354248,SO,11.697644789198002,17.88849392470537,SO,12.299426397172976,18.808761793345084,SO,12.39459091496918,18.954291079720488,31.0,0.041412353515625,30.0,8.0,Orages et pluies
2026-05-28 21:00,SO,15.051777827013982,23.084781074523924,SO,16.29049646176732,24.98459309838282,SO,18.015231068076268,27.62980360147965,SO,18.29594719522288,28.060335490386304,29.0,0.0414174397786458,10.0,10.0,Modérément nuageux
