valid_local,wind10_dir,wind10_spd_kt,wind10_gust_kt,wind100_dir,wind100_spd_kt,mslp_hpa,vis_km,t2m_c,rain_pct,sst_c,sw1_dir,sw1_period_s,sw1_ht_m,sw2_dir,sw2_period_s,sw2_ht_m,swh_m,swh_source,cur_dir,cur_spd_kt
2026-05-21 19:00:00,225.0,13,18.0,225.0,14,1010,7.6,28,10,29.4,180,7.0,1.0,225.0,10.0,0.7,1.48,ECMWF,90.0,0
2026-05-21 22:00:00,225.0,11,15.0,225.0,12,1012,7.0,28,20,29.3,180,6.0,1.0,225.0,10.0,0.6,1.45,ECMWF,90.0,1
2026-05-22 01:00:00,270.0,8,12.0,270.0,9,1013,8.2,27,100,29.2,180,6.0,1.0,225.0,10.0,0.6,1.4,ECMWF,90.0,1
2026-05-22 04:00:00,247.5,4,8.0,247.5,5,1012,8.2,27,100,29.1,180,6.0,1.0,225.0,10.0,0.6,1.34,ECMWF,90.0,1
2026-05-22 07:00:00,202.5,6,9.0,202.5,6,1013,9.1,27,50,29.0,180,6.0,0.9,225.0,10.0,0.6,1.3,ECMWF,90.0,1
2026-05-22 10:00:00,180.0,7,10.0,180.0,7,1015,8.7,27,10,29.2,180,6.0,0.9,225.0,10.0,0.6,1.26,ECMWF,90.0,1
2026-05-22 13:00:00,180.0,10,14.0,180.0,11,1013,10.0,28,20,29.7,180,6.0,0.8,225.0,10.0,0.6,1.24,ECMWF,90.0,1
2026-05-22 16:00:00,202.5,10,16.0,202.5,10,1011,8.5,27,80,29.8,180,6.0,0.8,225.0,10.0,0.6,1.23,ECMWF,90.0,1
2026-05-22 19:00:00,202.5,12,16.0,202.5,12,1010,7.3,28,30,29.6,180,6.0,0.8,225.0,10.0,0.6,1.21,ECMWF,90.0,1
2026-05-22 22:00:00,202.5,7,12.0,202.5,8,1013,7.0,28,80,29.4,180,6.0,0.8,225.0,10.0,0.5,1.18,ECMWF,90.0,1
2026-05-23 01:00:00,225.0,5,10.0,225.0,5,1013,8.0,27,100,29.3,180,6.0,0.8,225.0,10.0,0.5,1.15,ECMWF,90.0,1
2026-05-23 04:00:00,315.0,4,7.0,315.0,4,1012,8.1,27,90,29.1,180,6.0,0.8,225.0,10.0,0.5,1.13,ECMWF,90.0,1
2026-05-23 07:00:00,292.5,2,9.0,292.5,2,1013,8.3,26,100,28.9,180,6.0,0.7,225.0,10.0,0.5,1.11,ECMWF,90.0,1
2026-05-23 10:00:00,90.0,1,4.0,112.5,1,1014,8.1,27,100,29.2,180,6.0,0.7,225.0,10.0,0.5,1.09,ECMWF,112.5,1
2026-05-23 13:00:00,180.0,5,8.0,180.0,6,1012,7.4,27,10,29.9,180,6.0,0.8,225.0,10.0,0.5,1.09,ECMWF,112.5,1
2026-05-23 16:00:00,202.5,9,13.0,202.5,10,1010,10.0,28,10,30.1,180,6.0,0.8,225.0,10.0,0.5,1.11,ECMWF,90.0,1
2026-05-23 19:00:00,202.5,9,13.0,202.5,9,1010,6.3,29,10,29.8,180,6.0,0.7,225.0,10.0,0.4,1.13,ECMWF,90.0,1
2026-05-23 22:00:00,202.5,9,12.0,202.5,9,1012,6.0,29,10,29.6,180,6.0,0.7,225.0,10.0,0.4,1.14,ECMWF,90.0,1
2026-05-24 01:00:00,225.0,7,11.0,225.0,7,1012,5.8,29,10,29.4,180,6.0,0.7,225.0,11.0,0.4,1.14,ECMWF,90.0,1
2026-05-24 04:00:00,225.0,7,10.0,225.0,7,1011,6.0,29,20,29.3,180,6.0,0.7,202.5,15.0,0.3,1.13,ECMWF,90.0,1
2026-05-24 07:00:00,247.5,7,9.0,247.5,7,1011,7.4,29,10,29.2,180,6.0,0.7,202.5,15.0,0.3,1.13,ECMWF,112.5,1
2026-05-24 10:00:00,270.0,4,7.0,247.5,4,1013,6.6,28,20,29.4,180,6.0,0.7,202.5,15.0,0.3,1.13,ECMWF,112.5,1
2026-05-24 13:00:00,180.0,6,8.0,180.0,6,1012,9.2,27,100,29.9,180,6.0,0.7,202.5,14.0,0.4,1.14,ECMWF,112.5,1
2026-05-24 16:00:00,225.0,7,10.0,225.0,8,1009,10.0,28,10,30.0,180,6.0,0.7,202.5,14.0,0.4,1.15,ECMWF,90.0,1
2026-05-24 19:00:00,202.5,10,13.0,202.5,10,1011,6.9,29,10,29.8,180,8.0,0.6,202.5,13.0,0.4,1.19,ECMWF,90.0,1
