valid_local,wind10_dir,wind10_spd_kt,wind10_gust_kt,wind100_dir,wind100_spd_kt,mslp_hpa,vis_km,t2m_c,rain_pct,sst_c,sw1_dir,sw1_period_s,sw1_ht_m,sw2_dir,sw2_period_s,sw2_ht_m,swh_m,swh_source,cur_dir,cur_spd_ms
2026-05-21 19:00:00,202.5,16,20.0,202.5,17,1010,9.5,28,30,29.4,180,7.0,1.0,225.0,10.0,0.7,1.52,ECMWF,90.0,0.23
2026-05-21 22:00:00,202.5,12,16.0,202.5,13,1012,7.7,28,40,29.3,180,6.0,1.0,225.0,10.0,0.6,1.5,ECMWF,90.0,0.26
2026-05-22 01:00:00,247.5,7,14.0,247.5,7,1013,6.9,28,80,29.2,180,6.0,1.0,225.0,10.0,0.6,1.45,ECMWF,90.0,0.3
2026-05-22 04:00:00,247.5,4,9.0,247.5,5,1012,8.0,26,100,29.1,180,6.0,1.0,225.0,10.0,0.6,1.37,ECMWF,90.0,0.33
2026-05-22 07:00:00,247.5,4,8.0,247.5,4,1013,8.1,27,20,29.0,180,6.0,0.9,225.0,10.0,0.6,1.31,ECMWF,90.0,0.35
2026-05-22 10:00:00,202.5,6,9.0,202.5,6,1014,7.0,28,20,29.2,180,6.0,0.9,225.0,10.0,0.6,1.26,ECMWF,90.0,0.32
2026-05-22 13:00:00,202.5,8,10.0,202.5,8,1013,7.4,28,10,29.7,180,6.0,0.8,225.0,10.0,0.6,1.22,ECMWF,90.0,0.31
2026-05-22 16:00:00,202.5,11,14.0,202.5,11,1010,9.7,28,10,29.8,180,6.0,0.8,225.0,10.0,0.6,1.21,ECMWF,90.0,0.28
2026-05-22 19:00:00,202.5,9,15.0,202.5,10,1011,6.8,29,80,29.6,180,6.0,0.8,225.0,10.0,0.6,1.2,ECMWF,90.0,0.27
2026-05-22 22:00:00,202.5,8,12.0,202.5,8,1013,6.6,28,100,29.4,180,6.0,0.8,225.0,10.0,0.5,1.19,ECMWF,90.0,0.29
2026-05-23 01:00:00,247.5,3,8.0,225.0,3,1013,7.8,27,100,29.3,180,6.0,0.8,225.0,10.0,0.5,1.16,ECMWF,90.0,0.32
2026-05-23 04:00:00,292.5,5,9.0,270.0,6,1012,7.8,27,40,29.1,180,6.0,0.8,225.0,10.0,0.5,1.14,ECMWF,90.0,0.33
2026-05-23 07:00:00,0.0,1,7.0,0.0,1,1013,8.6,26,100,28.9,180,6.0,0.7,225.0,10.0,0.5,1.13,ECMWF,90.0,0.34
2026-05-23 10:00:00,45.0,2,6.0,67.5,1,1014,8.6,27,40,29.2,180,6.0,0.7,225.0,10.0,0.5,1.11,ECMWF,112.5,0.33
2026-05-23 13:00:00,180.0,5,7.0,180.0,5,1013,8.4,27,10,29.9,180,6.0,0.8,225.0,10.0,0.5,1.11,ECMWF,112.5,0.33
2026-05-23 16:00:00,180.0,8,11.0,180.0,8,1010,10.0,27,10,30.1,180,6.0,0.8,225.0,10.0,0.5,1.12,ECMWF,90.0,0.39
2026-05-23 19:00:00,202.5,8,11.0,202.5,8,1010,6.8,29,10,29.8,180,6.0,0.7,225.0,10.0,0.4,1.13,ECMWF,90.0,0.36
2026-05-23 22:00:00,202.5,7,11.0,202.5,8,1012,6.3,29,10,29.6,180,6.0,0.7,225.0,10.0,0.4,1.14,ECMWF,90.0,0.37
2026-05-24 01:00:00,225.0,7,11.0,225.0,7,1012,6.4,29,10,29.4,180,6.0,0.7,225.0,11.0,0.4,1.14,ECMWF,90.0,0.38
2026-05-24 04:00:00,247.5,6,9.0,247.5,7,1011,8.0,29,20,29.3,180,6.0,0.7,202.5,15.0,0.3,1.15,ECMWF,90.0,0.4
2026-05-24 07:00:00,270.0,6,8.0,270.0,6,1012,7.3,29,20,29.2,180,6.0,0.7,202.5,15.0,0.3,1.15,ECMWF,112.5,0.41
2026-05-24 10:00:00,270.0,5,8.0,270.0,5,1013,9.8,28,20,29.4,180,6.0,0.7,202.5,15.0,0.3,1.15,ECMWF,112.5,0.45
2026-05-24 13:00:00,247.5,7,10.0,247.5,7,1012,10.0,28,10,29.9,180,6.0,0.7,202.5,14.0,0.4,1.16,ECMWF,112.5,0.5
2026-05-24 16:00:00,225.0,11,15.0,225.0,12,1009,9.7,29,10,30.0,180,6.0,0.7,202.5,14.0,0.4,1.19,ECMWF,90.0,0.52
2026-05-24 19:00:00,225.0,12,16.0,225.0,12,1010,7.6,29,10,29.8,180,8.0,0.6,202.5,13.0,0.4,1.24,ECMWF,90.0,0.43
