valid_local,wind10_dir,wind10_spd_kt,wind10_gust_kt,wind100_dir,wind100_spd_kt,mslp_hpa,vis_km,t2m_c,rain_pct,sst_c,sw1_dir,sw1_period_s,sw1_ht_m,sw2_dir,sw2_period_s,sw2_ht_m,swh_m,swh_source,cur_dir,cur_spd_kt
2026-05-18 19:00:00,202.5,11,15,202.5,11,1012,7.2,28,20,29.8,202.5,10.0,0.8,180.0,10.0,0.8,1.58,ECMWF,90.0,1
2026-05-18 22:00:00,225.0,9,12,225.0,9,1014,6.5,28,10,29.7,202.5,10.0,0.8,180.0,10.0,0.7,1.6,ECMWF,90.0,1
2026-05-19 01:00:00,225.0,8,11,225.0,8,1013,6.4,28,10,29.5,225.0,10.0,0.8,202.5,12.0,0.5,1.6,ECMWF,90.0,1
2026-05-19 04:00:00,202.5,9,14,225.0,9,1012,7.0,28,80,29.3,225.0,11.0,0.8,202.5,15.0,0.3,1.61,ECMWF,90.0,1
2026-05-19 07:00:00,247.5,7,12,247.5,7,1013,7.5,27,90,29.3,225.0,11.0,0.8,225.0,15.0,0.3,1.64,ECMWF,90.0,1
2026-05-19 10:00:00,247.5,6,11,247.5,6,1014,7.6,27,80,29.3,225.0,11.0,0.8,180.0,15.0,0.3,1.67,ECMWF,90.0,1
2026-05-19 13:00:00,225.0,8,11,225.0,8,1013,7.3,27,100,29.4,225.0,11.0,0.8,180.0,14.0,0.4,1.69,ECMWF,90.0,1
2026-05-19 16:00:00,225.0,9,12,225.0,9,1011,7.7,27,80,29.5,225.0,11.0,0.8,180.0,14.0,0.4,1.72,ECMWF,67.5,1
2026-05-19 19:00:00,225.0,10,13,225.0,10,1010,7.8,28,10,29.5,225.0,11.0,0.8,180.0,13.0,0.4,1.74,ECMWF,67.5,1
2026-05-19 22:00:00,225.0,9,15,225.0,10,1013,8.6,28,10,29.4,225.0,11.0,0.8,180.0,13.0,0.5,1.77,ECMWF,90.0,1
2026-05-20 01:00:00,225.0,9,12,225.0,10,1013,7.4,28,40,29.3,225.0,11.0,0.9,180.0,13.0,0.5,1.76,ECMWF,90.0,1
2026-05-20 04:00:00,247.5,9,13,247.5,10,1011,7.3,28,10,29.3,225.0,11.0,0.8,180.0,12.0,0.5,1.75,ECMWF,90.0,1
2026-05-20 07:00:00,247.5,7,10,247.5,7,1012,9.9,28,20,29.3,225.0,11.0,0.8,180.0,12.0,0.6,1.72,ECMWF,90.0,1
2026-05-20 10:00:00,202.5,7,11,202.5,7,1014,9.0,27,100,29.5,225.0,11.0,0.8,180.0,12.0,0.6,1.68,ECMWF,90.0,1
2026-05-20 13:00:00,202.5,12,15,202.5,12,1013,8.2,28,20,29.6,180.0,8.0,1.0,225.0,11.0,0.8,1.67,ECMWF,90.0,1
2026-05-20 16:00:00,225.0,13,17,225.0,13,1010,8.8,28,20,29.6,180.0,8.0,1.0,225.0,11.0,0.8,1.69,ECMWF,90.0,1
2026-05-20 19:00:00,225.0,14,19,225.0,16,1011,9.6,29,10,29.6,180.0,8.0,1.0,225.0,11.0,0.8,1.7,ECMWF,67.5,1
2026-05-20 22:00:00,225.0,13,18,225.0,14,1013,10.0,28,20,29.4,180.0,8.0,0.9,225.0,11.0,0.8,1.7,ECMWF,67.5,1
2026-05-21 01:00:00,225.0,11,16,225.0,12,1013,9.6,28,100,29.3,180.0,8.0,0.9,225.0,11.0,0.8,1.67,ECMWF,90.0,1
2026-05-21 04:00:00,247.5,11,15,247.5,12,1011,10.0,28,100,29.3,180.0,8.0,0.9,225.0,11.0,0.8,1.62,ECMWF,90.0,1
2026-05-21 07:00:00,270.0,10,15,270.0,11,1012,8.3,28,90,29.2,180.0,8.0,0.9,225.0,11.0,0.7,1.58,ECMWF,90.0,1
2026-05-21 10:00:00,225.0,4,7,225.0,4,1015,7.9,27,100,29.3,180.0,8.0,0.9,225.0,11.0,0.7,1.51,ECMWF,90.0,1
2026-05-21 13:00:00,225.0,10,15,225.0,11,1012,8.4,27,50,29.4,180.0,8.0,0.9,225.0,11.0,0.7,1.47,ECMWF,90.0,1
2026-05-21 16:00:00,225.0,14,18,225.0,15,1009,8.0,27,10,29.5,180.0,8.0,0.9,225.0,11.0,0.7,1.46,ECMWF,90.0,1
2026-05-21 19:00:00,202.5,13,16,202.5,13,1011,8.6,28,10,29.5,180.0,7.0,0.8,225.0,11.0,0.7,1.43,ECMWF,90.0,1
